ImageID,Source,LabelName,Confidence,XMin,XMax,YMin,YMax,IsOccluded,IsTruncated,IsGroupOf,IsDepiction,IsInside,XClick1X,XClick2X,XClick3X,XClick4X,XClick1Y,XClick2Y,XClick3Y,XClick4Y
0000599864fd15b3,xclick,Bus,1,0.34375,0.90875,0.156162,0.650047,1,0,0,0,0,0.421875,0.34375,0.795,0.90875,0.156162,0.5127,0.650047,0.457197
00006bdb1eb5cd74,xclick,Truck,1,0.276667,0.6975,0.141604,0.43734300000000004,1,0,0,0,0,0.299167,0.276667,0.6975,0.6591670000000001,0.141604,0.24185500000000001,0.35213,0.43734300000000004
00006bdb1eb5cd74,xclick,Truck,1,0.7025,0.999167,0.204261,0.40977399999999997,1,1,0,0,0,0.849167,0.7025,0.906667,0.999167,0.204261,0.398496,0.40977399999999997,0.295739
00010bf498b64bab,xclick,Bus,1,0.15625,0.37125,0.26918800000000004,0.705228,0,0,0,0,0,0.274375,0.37125,0.311875,0.15625,0.26918800000000004,0.493882,0.705228,0.521691
00013f14dd4e168f,xclick,Bus,1,0.2875,0.999375,0.194184,0.9990620000000001,0,1,0,0,0,0.92,0.999375,0.64875,0.2875,0.194184,0.30394,0.9990620000000001,0.523452
0002914fa805e227,xclick,Truck,1,0.06125,0.966875,0.125399,0.9744950000000001,1,0,0,1,0,0.756875,0.966875,0.501875,0.06125,0.9744950000000001,0.5983,0.125399,0.38257199999999997
00036603fa39fa85,xclick,Truck,1,0.058125,0.983125,0.053333000000000005,0.94,0,0,0,0,0,0.058125,0.59875,0.983125,0.71,0.55,0.053333000000000005,0.337778,0.94
0004d5a9dd44ab6a,xclick,Truck,1,0.035625,0.188125,0.189893,0.320827,0,0,0,0,0,0.115,0.035625,0.139375,0.188125,0.189893,0.245023,0.320827,0.2366
0004d5a9dd44ab6a,xclick,Truck,1,0.094375,0.8975,0.147014,0.93415,0,0,0,0,0,0.365,0.094375,0.33375,0.8975,0.147014,0.609495,0.93415,0.822358
0004d5a9dd44ab6a,xclick,Truck,1,0.860625,0.999375,0.249617,0.390505,1,0,0,0,0,0.9925,0.999375,0.860625,0.92125,0.249617,0.294028,0.325421,0.390505
0005f203463a13a8,xclick,Truck,1,0.0,0.7,0.187778,0.9988889999999999,0,0,0,0,0,0.6,0.7,0.0,0.39375,0.187778,0.535556,0.746667,0.9988889999999999
00066517f9d814f9,xclick,Truck,1,0.0,0.588867,0.069892,0.998208,0,1,0,0,0,0.324219,0.0,0.308594,0.588867,0.069892,0.637993,0.998208,0.385305
00072b81abc72d21,xclick,Truck,1,0.1625,0.9275,0.26779000000000003,0.932584,0,0,0,0,0,0.2825,0.46,0.1625,0.9275,0.26779000000000003,0.932584,0.719101,0.6891390000000001
